Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 33776,04.09.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bir futbol kulübüne verilen cezaya ilişkin
7 / 9680,19.02.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Kocaeli'nin İzmit ilçesinde yaşanan altyapı sorununa ilişkin
7 / 33810,05.09.2025,Van,Gülderen VARLİ,Milli Eğitim Bakanlığı,Cevaplandı,Eğitim politikalarına ilişkin
7 / 27037,18.04.2025,İzmir,Hüsmen KIRKPINAR,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çiğ süt fiyatına ilişkin
7 / 35899,24.10.2025,Bursa,Yüksel Selçuk TÜRKOĞLU,Ticaret Bakanlığı,Cevaplandı,2024'ten bu yana Bursa'nın İnegöl ilçesinde iflas eden veya konkordato ilan eden mobilya şirketlerine ilişkin
7 / 3787,04.09.2023,Niğde,Ömer Fethi GÜRER,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,Türkiye Tek Yürek Kampanyasında toplanan bağışların akıbetine ilişkin
7 / 34720,03.10.2025,Van,Gülderen VARLİ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Van'da yürütülen yol çalışmalarının trafik yoğunluğuna etkisine ilişkin
7 / 20364,13.12.2024,Zonguldak,Deniz YAVUZYILMAZ,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,YEKA yarışmalarına ilişkin
7 / 26518,09.04.2025,Karabük,Cevdet AKAY,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Özel emeklilik sandıklarına ilişkin
7 / 36882,24.11.2025,Kocaeli,Lütfü TÜRKKAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Kocaeli'nin Dilovası ilçe merkezinin taşınacağı iddiasına ilişkin
7 / 19869,27.11.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ortopedi teknik kadrosu atamalarına ilişkin
7 / 43219,09.04.2026,İstanbul,Elif ESEN,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Uzaktan ve hibrit çalışan kişileri dijital mobbinge karşı korumak için yapılan çalışmalara ilişkin
7 / 6614,24.11.2023,Diyarbakır,Mehmet KAMAÇ,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Van ili Çatak ilçesi Konalga köyündeki arazilerin usulsüz bir şekilde bazı gerçek ve tüzel kişiler adına tescil edildiği iddiasına ilişkin
7 / 9372,08.02.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,6 Şubat 2023 tarihli depremlerden yaralı olarak kurtulan bir depremzedenin kaybolduğu iddiasına ilişkin
7 / 36956,19.11.2025,Muş,Sümeyye BOZ ÇAKI,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2018-2019 yıllarında Şırnak'ta yaşanan cinsel istismar vakası sonrasında yürütülen yargılama sürecine ilişkin
7 / 13452,28.06.2024,Kırklareli,Vecdi GÜNDOĞDU,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,14 Haziran 2024 tarihinde Kırklareli ilinde meydana gelen yağış sonrası oluşan zarara ilişkin
7 / 39849,03.02.2026,Ankara,Okan KONURALP,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kadına karşı şiddetin önlenmesi için yapılan çalışmalara ilişkin
7 / 33538,15.08.2025,Konya,Barış BEKTAŞ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sahte diploma yoluyla akademik ünvan elde eden kişilere ilişkin
7 / 35228,16.10.2025,İstanbul,İsa Mesih ŞAHİN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Şanlıurfa'nın Suruç ilçesinde yapımı devam eden TOKİ konutlarının akıbetine ilişkin
7 / 8940,26.01.2024,Osmaniye,Asu KAYA,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Osmaniye ili Düziçi ilçesinde çiftçilere yapılan tarımsal destekleme ödemelerine ilişkin
7 / 14178,19.07.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplandı,Tokat Açık Cezaevinde bulunan bir mahkumun kötü muameleye maruz kaldığı iddiasına ilişkin
7 / 10055,01.03.2024,İstanbul,Ali GÖKÇEK,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,İstanbul Beykoz Belediyesinin mahalleye dönüştürülen bazı köylerden aldığı vergilere ilişkin
7 / 37879,18.12.2025,Hatay,Nermin YILDIRIM KARA,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Hatay'ın bazı ilçelerine üretim tesisi açmayı planlayan bir şirkete ilişkin
7 / 25905,10.03.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bir kişinin kolluk kuvvetleri tarafından kötü muameleye maruz bırakıldığı iddiasına ilişkin
7 / 14893,24.07.2024,Gaziantep,Sevda KARACA DEMİR,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Tunceli'de 19 Temmuz 2024 tarihinde düzenlenen bir gösteriye kolluk tarafından yapılan müdahaleye ilişkin
7 / 37889,09.12.2025,Tunceli,Ayten KORDU,Başkan Numan KURTULMUŞ,Cevaplandı,Dilekçe Komisyonu bünyesinde kurulan bir alt komisyona ilişkin
7 / 20088,04.12.2024,Niğde,Ömer Fethi GÜRER,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Pestisit kalıntısı nedeniyle iade edilen ihracat ürünlerine ilişkin
7 / 2232,24.07.2023,Bingöl,Ömer Faruk HÜLAKÜ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bingöl Belediyesinin dernek ve vakıflara yaptığı ödemelere ilişkin
7 / 10446,13.03.2024,Diyarbakır,Mustafa Sezgin TANRIKULU,Gençlik Ve Spor Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Son 3 yılda Bakanlık çalışanları için toplanan yardımlara ilişkin
7 / 25264,12.03.2025,Denizli,Yasin ÖZTÜRK,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Uşak ilinde çevre kirliliğinin önlenmesi için yapılan denetim faaliyetlerine ilişkin
7 / 43990,29.04.2026,Şanlıurfa,Ömer ÖCALAN,Sağlık Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Şanlıurfa'nın Siverek ilçesinde bulunan devlet hastanesi ve sağlık merkezlerinin fiziki koşullarının yetersizliğine ve hekim ihtiyacına ilişkin
7 / 40495,11.02.2026,Tekirdağ,Faik ÖZTRAK,Ulaştırma Ve Altyapı Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Tekirdağ ilindeki bazı ulaştırma projelerinin akıbetine ilişkin
7 / 37524,04.12.2025,Trabzon,Yavuz AYDIN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Iraklı eski bir yöneticinin Şırnak'ın Cizre ilçesinde katıldığı bir programda yanında bulunan korumalarına ilişkin
7 / 5655,19.10.2023,Balıkesir,Turhan ÇÖMEZ,Ulaştırma Ve Altyapı Bakanlığı,Cevaplandı,6 Şubat 2023 tarihli depremden önce aktif olup deprem sonrasında kullanılmayan SİM kartlarının sayısına ilişkin
7 / 12075,17.05.2024,Giresun,Elvan IŞIK GEZMİŞ,Ulaştırma Ve Altyapı Bakanlığı,Cevaplandı,Uluslararası kara taşımacılığı yapan sürücülerin vize sorununa ilişkin
7 / 31056,18.07.2025,Edirne,Mehmet AKALIN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Orman yangınlarına karşı alınan önlemlere ilişkin
7 / 21337,30.12.2024,Şanlıurfa,Ferit ŞENYAŞAR,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Gaziantep Çocuk Esirgeme Kurumunda kötü muameleye maruz kalan iki çocuğa ilişkin
7 / 24379,21.02.2025,Burdur,İzzet AKBULUT,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023-2024 yıllarında Burdur ilinde yapılan İŞKUR başvurularının sayısına ilişkin
7 / 44424,30.04.2026,İstanbul,İskender BAYHAN,Enerji Ve Tabii Kaynaklar Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Adapazarı Şeker Fabrikasının devir sürecine ilişkin
7 / 21567,07.01.2025,Muğla,Selçuk ÖZDAĞ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Muğla'daki kira fiyatlarında yaşanan artışa ilişkin
7 / 6434,21.11.2023,Ankara,Koray AYDIN,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,KKTC'nin Türk Devletleri Teşkilatı Devlet Başkanları Konseyi'nin 10. Zirvesi'ne davet edilmemesine ilişkin
7 / 11619,07.05.2024,Uşak,Ali KARAOBA,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Uşak Belediyesinin yardım gönderdiği dernek ve vakıflara ilişkin
7 / 24197,17.02.2025,Bursa,Yüksel Selçuk TÜRKOĞLU,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,SGK'nın ilaç geri ödeme politikasının revize edilmesi talebine ilişkin
7 / 38426,30.12.2025,Hatay,Mehmet GÜZELMANSUR,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremler sonrasında Hatay'da TOKİ tarafından inşa edilen konutlarla ilgili yaşanan mağduriyete ilişkin
7 / 5691,24.10.2023,Çanakkale,İsmet GÜNEŞHAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bakanlıkça yerel yönetimlere tahsis edilen Hazine taşınmazlarına ilişkin
7 / 9624,16.02.2024,Amasya,Reşat KARAGÖZ,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Amasya'da tarla faresi ile mücadeleye ilişkin
7 / 30475,07.07.2025,Kars,İnan Akgün ALP,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,2025 yılının Temmuz ayında İzmir'in ilçelerinde çıkan orman yangınlarının nedenine ilişkin
7 / 877,21.06.2023,Diyarbakır,Ceylan AKÇA CUPOLO,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Diyarbakır'ın Taş Köprü bölgesinde gerçekleştirilen ağaç kesimlerine ilişkin
7 / 35635,21.10.2025,Diyarbakır,Berdan ÖZTÜRK,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sayıştayın 2024 yılı Denetim Raporu'nda Çukurova Üniversitesi ile ilgili yaptığı bazı tespitlere ilişkin
7 / 16219,12.09.2024,Hatay,Nermin YILDIRIM KARA,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Hatay ilinde maymun çiçeği virüsüne karşı alınan önlemlere ilişkin
7 / 33709,09.09.2025,Hatay,Necmettin ÇALIŞKAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremlerde zarar gören emniyet binalarının akıbetine ilişkin
7 / 16167,04.09.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İzmir'deki elektrik dağıtım şirketi ile ilgili bazı iddialara ilişkin
7 / 43817,27.04.2026,Karabük,Cevdet AKAY,Dışişleri Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,"2023 yılından bu yana Bakanlık ile Bakanlığa bağlı, ilgili ve ilişkili kurum ve kuruluşlar tarafından kiralanan ve satın alınan gayrimenkullere ilişkin"
7 / 28189,06.05.2025,İzmir,Mustafa BİLİCİ,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,TRT'nin siyasi içerikli haber yayınlarında siyasi partilere ayırdığı sürelere ilişkin
7 / 27509,25.04.2025,Ağrı,Nejla DEMİR,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ağrı'da bulunan Yazıcı Sulama Birliğine ilişkin
7 / 38671,07.01.2026,Konya,Barış BEKTAŞ,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Konya ilinde uyuşturucuyla mücadeleye ilişkin
7 / 23143,20.12.2024,Afyonkarahisar,Hakan Şeref OLGUN,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Isparta'nın Eğirdir ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 20408,10.12.2024,Erzurum,Meral DANIŞ BEŞTAŞ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İstanbul Teknik Üniversitesinde bazı öğrencilerin tehdit edildiği iddiasına ilişkin
7 / 1467,22.06.2023,Diyarbakır,Serhat EREN,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Muş'un Şenyayla bölgesinde yapılan ağaç kesimlerine ilişkin
7 / 33730,08.09.2025,Ankara,Adnan BEKER,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sivas ilinde Kızılırmak Nehri'ne dayalı tarımsal sulama projeleri geliştirilmesine ilişkin
7 / 18174,15.10.2024,Ardahan,Özgür Erdem İNCESU,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ardahan ili Damal ilçesine bağlı Otağlı ve Dereköy köylerinin yol sorununa ilişkin
7 / 569,13.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,Diyanet İşleri Başkanlığı'nın bir imam hakkında açtığı soruşturmaya ilişkin
7 / 2204,21.07.2023,Denizli,Yasin ÖZTÜRK,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Uşak ilinde hakkında icra takibi başlatılan kişi sayısına ilişkin
7 / 13,08.06.2023,Ankara,Kürşad ZORLU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Son bir yılda Türk vatandaşı olan yabancılara gerçekleştirilen toprak ve gayrimenkul satışına ilişkin
7 / 36664,13.11.2025,Mersin,Talat DİNÇER,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Vergi mükellefi olan yabancı uyruklu kişi ve şirketlere ilişkin
7 / 5102,05.10.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kocaeli ilinde bulunan bir fabrikanın çevreye yaydığı kokuya ilişkin
7 / 15157,12.08.2024,Isparta,Hikmet Yalım HALICI,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ocak 2020 ile Ağustos 2024 tarihleri arasında yapılan silah ruhsatı başvurularına ilişkin
7 / 7028,04.12.2023,İstanbul,Ayşe Sibel YANIKÖMEROĞLU,Milli Eğitim Bakanlığı,Cevaplandı,Yurt dışı lisans eğitim bursu alan bursiyerlerin tazminat ödemelerine ilişkin
7 / 43370,14.04.2026,Kocaeli,Ömer Faruk GERGERLİOĞLU,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Afganistan'ın Kabil kentinde yaşayan bir Türk vatandaşının ülkemize dönüşünün sağlanması talebine ilişkin
7 / 23135,20.12.2024,Afyonkarahisar,Hakan Şeref OLGUN,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Isparta'nın Yalvaç ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 14575,31.07.2024,Yalova,Tahsin BECAN,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,Gemi inşa sektörüne ilişkin
7 / 30834,11.07.2025,İzmir,Haydar ALTINTAŞ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplandı,Murat Dağı yakınlarında yapılması planlanan bir altın madeni projesinin ÇED sürecine ilişkin
7 / 6467,22.11.2023,Bingöl,Ömer Faruk HÜLAKÜ,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bingöl ilinde Tip-1 diyabet tanısı konulan kişilere ilişkin
7 / 2539,28.07.2023,Kırklareli,Fahri ÖZKAN,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,TMO'nun randevu sistemi sebebiyle çiftçilerin yaşadıkları zorluklara ilişkin
7 / 15962,03.09.2024,Hakkari,Vezir Coşkun PARLAK,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Hakkari'nin Berçelan yaylasındaki yaylacılık ve hayvancılık faaliyetlerine ilişkin
7 / 9471,13.02.2024,İzmir,Hüsmen KIRKPINAR,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bayraklı Şehir Hastanesinin personel eksikliğine ilişkin
7 / 19579,19.11.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Yabancı uyruklu bir kişinin ikamet izni başvurusunun reddedilmesine ilişkin
7 / 11572,25.04.2024,Zonguldak,Deniz YAVUZYILMAZ,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,31 Mart Mahalli İdareler Seçimleri öncesinde yürütülen propaganda sürecinde Bakanlık personeli ile Bakanlığa ait araçların kullanımı ile ilgili iddialara ilişkin
7 / 43878,27.04.2026,İstanbul,Ali GÖKÇEK,Milli Eğitim Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Okullarda görev yapan yardımcı personelle ilgili çeşitli verilere ilişkin
7 / 12114,22.05.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Kocaeli'nin Derince ilçesinde bulunan özel bir liman işletmesinin yarattığı trafik sorununa ilişkin
7 / 25828,10.03.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir kişinin kolluk kuvvetleri tarafından kötü muameleye maruz bırakıldığı iddiasına ilişkin
7 / 2673,31.07.2023,Ankara,Kürşad ZORLU,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,"Ülkemizde doktor, eczacı ve hemşire olarak görev yapan sığınmacı ve yabancı sayısına ilişkin"
7 / 41532,25.02.2026,Van,Mahmut DİNDAR,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kürtçenin kamusal hizmetlerde kullanımına ilişkin
7 / 19785,22.11.2024,Şanlıurfa,Mahmut TANAL,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Şanlıurfa GAP Havalimanına son bir yılda gerçekleştirilen uçuş sayısına ilişkin
7 / 33678,10.09.2025,Muğla,Selçuk ÖZDAĞ,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çalışan kadınlara verilecek desteklere ilişkin
7 / 17475,11.10.2024,İzmir,Murat BAKAN,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Türkiye'nin vize muafiyeti sağladığı ülkelere ilişkin
7 / 3496,22.08.2023,Diyarbakır,Ceylan AKÇA CUPOLO,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Dicle Üniversitesi Hastanesinin ekipman ve personel ihtiyacına ilişkin
7 / 29165,04.06.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,İzmir Buca 2 Nolu F Tipi Kapalı Cezaevinde bulunan bir mahkumun hak ihlaline uğradığı iddiasına ilişkin
7 / 13146,13.06.2024,İstanbul,Mehmet Satuk Buğra KAVUNCU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,6 Şubat 2023 tarihli Kahramanmaraş merkezli depremler sonrası depremzedelere verilen kira yardımlarının kesileceği iddiasına ilişkin
7 / 23489,31.01.2025,Amasya,Reşat KARAGÖZ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Amasya'nın Merzifon ilçesine bağlı köylerde İl Özel İdaresi tarafından sağlanan hizmetlere ilişkin
7 / 5041,05.10.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bafra T Tipi Kapalı Cezaevinde bir mahkuma kötü muamelede bulunulduğu iddiasına ilişkin
7 / 37870,18.12.2025,Hatay,Nermin YILDIRIM KARA,Milli Savunma Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Son 20 yılda imara açılan askeri alanlara ilişkin
7 / 23141,20.12.2024,Afyonkarahisar,Hakan Şeref OLGUN,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Isparta'nın Gönen ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 12761,31.05.2024,Niğde,Ömer Fethi GÜRER,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,IPARD programının uygulandığı illere ilişkin
7 / 32738,15.08.2025,Samsun,Murat ÇAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Samsun'un Terme ilçesine bağlı Sivaslılar köyünün ulaşım altyapısı sorununa ilişkin
7 / 40521,06.02.2026,Diyarbakır,Adalet KAYA,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremlerden etkilenen illerde yerinde dönüşüm kapsamında verilen hibe ve kredi desteği süresinin uzatılması talebine ilişkin
7 / 11986,15.05.2024,Trabzon,Sibel SUİÇMEZ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Trabzon'un Çaykara ilçesine bağlı Uzungöl Mahallesi'nde bulunan atık su arıtma tesisinin revizyon çalışmalarına ilişkin
7 / 28623,16.05.2025,İstanbul,İskender BAYHAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bir siyasi partinin gençlik örgütüne üye olan öğrencilerin tehdit edildiği iddiasına ilişkin
7 / 15732,21.08.2024,Aydın,Süleyman BÜLBÜL,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir dekanın sosyal medyada yaptığı paylaşıma ilişkin
7 / 42277,18.03.2026,Tekirdağ,Selcan TAŞCI,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,18 yaş altı lisanslı sporcuların madde bağımlılığından korunması için alınan önlemlere ilişkin
7 / 29670,24.06.2025,Ankara,İdris ŞAHİN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çocukların ve gençlerin uyuşturucu ile karşılaşma riskinin azaltılmasına yönelik çalışmalara ilişkin
7 / 6900,01.12.2023,Hatay,Nermin YILDIRIM KARA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremler sonrasında Hatay'da çocuk ve bebek aşılama oranları ile kanser taramalarına ilişkin
